Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
75,1,9,Septiembre,Fiscalidad inteligente,38,11,Viernes,2026-09-18,Carrusel,IA,Prompts,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Prompts para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
76,1,9,Septiembre,Fiscalidad inteligente,38,11,Sábado,2026-09-19,Post,Marca personal,Reflexión,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Reflexión conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
77,1,9,Septiembre,Fiscalidad inteligente,38,11,Domingo,2026-09-20,Reel,Venta,Problema,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Problema como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
78,1,9,Septiembre,Fiscalidad inteligente,39,12,Lunes,2026-09-21,Reel,Marketing,Embudo,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Embudo impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
79,1,9,Septiembre,Fiscalidad inteligente,39,12,Martes,2026-09-22,Carrusel,Fiscalidad,Gastos deducibles,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar Gastos deducibles en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
80,1,9,Septiembre,Fiscalidad inteligente,39,12,Miércoles,2026-09-23,Post,Mentalidad,Orden,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Orden aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
81,1,9,Septiembre,Fiscalidad inteligente,39,12,Jueves,2026-09-24,Reel,Storytelling,Momento de claridad,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Momento de claridad para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
82,1,9,Septiembre,Fiscalidad inteligente,39,12,Viernes,2026-09-25,Carrusel,IA,Productividad,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Productividad para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
83,1,9,Septiembre,Fiscalidad inteligente,39,12,Sábado,2026-09-26,Post,Marca personal,Visión,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Visión conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
84,1,9,Septiembre,Fiscalidad inteligente,39,12,Domingo,2026-09-27,Reel,Venta,Decisión,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Decisión como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
85,1,9,Septiembre,Fiscalidad inteligente,40,13,Lunes,2026-09-28,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
86,1,9,Septiembre,Fiscalidad inteligente,40,13,Martes,2026-09-29,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
87,1,9,Septiembre,Fiscalidad inteligente,40,13,Miércoles,2026-09-30,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
88,1,10,Octubre,Crecimiento empresarial,40,13,Jueves,2026-10-01,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
89,1,10,Octubre,Crecimiento empresarial,40,13,Viernes,2026-10-02,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
90,1,10,Octubre,Crecimiento empresarial,40,13,Sábado,2026-10-03,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
91,1,10,Octubre,Crecimiento empresarial,40,13,Domingo,2026-10-04,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
92,1,10,Octubre,Crecimiento empresarial,41,14,Lunes,2026-10-05,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
93,1,10,Octubre,Crecimiento empresarial,41,14,Martes,2026-10-06,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
94,1,10,Octubre,Crecimiento empresarial,41,14,Miércoles,2026-10-07,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
95,1,10,Octubre,Crecimiento empresarial,41,14,Jueves,2026-10-08,Reel,Storytelling,Conversación real,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Conversación real para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
96,1,10,Octubre,Crecimiento empresarial,41,14,Viernes,2026-10-09,Carrusel,IA,Asistentes IA,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Asistentes IA para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
97,1,10,Octubre,Crecimiento empresarial,41,14,Sábado,2026-10-10,Post,Marca personal,Tu historia,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Tu historia conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
98,1,10,Octubre,Crecimiento empresarial,41,14,Domingo,2026-10-11,Reel,Venta,CTA,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar CTA como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
99,1,10,Octubre,Crecimiento empresarial,42,15,Lunes,2026-10-12,Reel,Marketing,Posicionamiento,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Posicionamiento impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
100,1,10,Octubre,Crecimiento empresarial,42,15,Martes,2026-10-13,Carrusel,Fiscalidad,Errores fiscales,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Errores fiscales en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
101,1,10,Octubre,Crecimiento empresarial,42,15,Miércoles,2026-10-14,Post,Mentalidad,Resiliencia,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Resiliencia aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
102,1,10,Octubre,Crecimiento empresarial,42,15,Jueves,2026-10-15,Reel,Storytelling,Cambio de visión,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Cambio de visión para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
103,1,10,Octubre,Crecimiento empresarial,42,15,Viernes,2026-10-16,Carrusel,IA,Ideas de contenido,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar Ideas de contenido para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
104,1,10,Octubre,Crecimiento empresarial,42,15,Sábado,2026-10-17,Post,Marca personal,Universo,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Universo conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
105,1,10,Octubre,Crecimiento empresarial,42,15,Domingo,2026-10-18,Reel,Venta,Mentoría,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Mentoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
106,1,10,Octubre,Crecimiento empresarial,43,16,Lunes,2026-10-19,Reel,Marketing,Conversión,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Conversión impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
107,1,10,Octubre,Crecimiento empresarial,43,16,Martes,2026-10-20,Carrusel,Fiscalidad,Inspecciones,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Inspecciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
108,1,10,Octubre,Crecimiento empresarial,43,16,Miércoles,2026-10-21,Post,Mentalidad,Límites,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Límites aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
109,1,10,Octubre,Crecimiento empresarial,43,16,Jueves,2026-10-22,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
110,1,10,Octubre,Crecimiento empresarial,43,16,Viernes,2026-10-23,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
111,1,10,Octubre,Crecimiento empresarial,43,16,Sábado,2026-10-24,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
112,1,10,Octubre,Crecimiento empresarial,43,16,Domingo,2026-10-25,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
113,1,10,Octubre,Crecimiento empresarial,44,17,Lunes,2026-10-26,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
114,1,10,Octubre,Crecimiento empresarial,44,17,Martes,2026-10-27,Carrusel,Fiscalidad,Sociedades,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Sociedades en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
115,1,10,Octubre,Crecimiento empresarial,44,17,Miércoles,2026-10-28,Post,Mentalidad,Identidad,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Identidad aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
116,1,10,Octubre,Crecimiento empresarial,44,17,Jueves,2026-10-29,Reel,Storytelling,Lección de negocio,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Lección de negocio para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
117,1,10,Octubre,Crecimiento empresarial,44,17,Viernes,2026-10-30,Carrusel,IA,Análisis,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Análisis para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
118,1,10,Octubre,Crecimiento empresarial,44,17,Sábado,2026-10-31,Post,Marca personal,Lecciones personales,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Lecciones personales conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
119,1,11,Noviembre,Autoridad y confianza,44,17,Domingo,2026-11-01,Reel,Venta,Precio,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Precio como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
120,1,11,Noviembre,Autoridad y confianza,45,18,Lunes,2026-11-02,Reel,Marketing,Diferenciación,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Diferenciación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
121,1,11,Noviembre,Autoridad y confianza,45,18,Martes,2026-11-03,Carrusel,Fiscalidad,IVA,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar IVA en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
122,1,11,Noviembre,Autoridad y confianza,45,18,Miércoles,2026-11-04,Post,Mentalidad,Hábitos,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Hábitos aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
123,1,11,Noviembre,Autoridad y confianza,45,18,Jueves,2026-11-05,Reel,Storytelling,Antes y después,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Antes y después para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
124,1,11,Noviembre,Autoridad y confianza,45,18,Viernes,2026-11-06,Carrusel,IA,Procesos,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Procesos para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
125,1,11,Noviembre,Autoridad y confianza,45,18,Sábado,2026-11-07,Post,Marca personal,Creencias,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Creencias conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
126,1,11,Noviembre,Autoridad y confianza,45,18,Domingo,2026-11-08,Reel,Venta,Consecuencia,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Consecuencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
127,1,11,Noviembre,Autoridad y confianza,46,19,Lunes,2026-11-09,Reel,Marketing,Instagram,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Instagram impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
128,1,11,Noviembre,Autoridad y confianza,46,19,Martes,2026-11-10,Carrusel,Fiscalidad,Facturación,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar Facturación en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
129,1,11,Noviembre,Autoridad y confianza,46,19,Miércoles,2026-11-11,Post,Mentalidad,Energía,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Energía aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
130,1,11,Noviembre,Autoridad y confianza,46,19,Jueves,2026-11-12,Reel,Storytelling,Historia breve,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Historia breve para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
131,1,11,Noviembre,Autoridad y confianza,46,19,Viernes,2026-11-13,Carrusel,IA,Sistemas,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Sistemas para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
132,1,11,Noviembre,Autoridad y confianza,46,19,Sábado,2026-11-14,Post,Marca personal,Autenticidad,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Autenticidad conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
133,1,11,Noviembre,Autoridad y confianza,46,19,Domingo,2026-11-15,Reel,Venta,Objeciones,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Objeciones como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
134,1,11,Noviembre,Autoridad y confianza,47,20,Lunes,2026-11-16,Reel,Marketing,Captación,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Captación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
135,1,11,Noviembre,Autoridad y confianza,47,20,Martes,2026-11-17,Carrusel,Fiscalidad,Deducciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Deducciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
136,1,11,Noviembre,Autoridad y confianza,47,20,Miércoles,2026-11-18,Post,Mentalidad,Consistencia,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Consistencia aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
137,1,11,Noviembre,Autoridad y confianza,47,20,Jueves,2026-11-19,Reel,Storytelling,Observación empresarial,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Observación empresarial para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
138,1,11,Noviembre,Autoridad y confianza,47,20,Viernes,2026-11-20,Carrusel,IA,Investigación,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Investigación para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
139,1,11,Noviembre,Autoridad y confianza,47,20,Sábado,2026-11-21,Post,Marca personal,Naturaleza,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Naturaleza conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
140,1,11,Noviembre,Autoridad y confianza,47,20,Domingo,2026-11-22,Reel,Venta,Diferenciación,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar Diferenciación como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
141,1,11,Noviembre,Autoridad y confianza,48,21,Lunes,2026-11-23,Reel,Marketing,Mensaje,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Mensaje impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
142,1,11,Noviembre,Autoridad y confianza,48,21,Martes,2026-11-24,Carrusel,Fiscalidad,Ahorro legal,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Ahorro legal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
143,1,11,Noviembre,Autoridad y confianza,48,21,Miércoles,2026-11-25,Post,Mentalidad,Claridad,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Claridad aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
144,1,11,Noviembre,Autoridad y confianza,48,21,Jueves,2026-11-26,Reel,Storytelling,Experiencia propia,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Experiencia propia para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
145,1,11,Noviembre,Autoridad y confianza,48,21,Viernes,2026-11-27,Carrusel,IA,ChatGPT,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar ChatGPT para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
146,1,11,Noviembre,Autoridad y confianza,48,21,Sábado,2026-11-28,Post,Marca personal,Valores,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Valores conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
147,1,11,Noviembre,Autoridad y confianza,48,21,Domingo,2026-11-29,Reel,Venta,Prueba,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Prueba como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
148,1,11,Noviembre,Autoridad y confianza,49,22,Lunes,2026-11-30,Reel,Marketing,Contenido,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Contenido impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
149,1,12,Diciembre,Cierre y estrategia,49,22,Martes,2026-12-01,Carrusel,Fiscalidad,Autónomos,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Autónomos en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
