Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
90,2026-10-03,Sábado,13,Octubre,Marca personal,Libros — La autoridad también se siente antes de demostrarse,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre libros, conectando la idea con tu experiencia real y tu visión de negocio.","La autoridad también se siente antes de demostrarse. Hoy quiero hablarte de libros, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
91,2026-10-04,Domingo,13,Octubre,Venta,"Urgencia — Si tu negocio factura pero no crece, mira esto",Reel,"Gancho (0-2s): ""Si tu negocio factura pero no crece, mira esto"". Desarrollo (3-15s): Explica cómo urgencia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Si tu negocio factura pero no crece, mira esto. Si tu negocio tiene relación con urgencia, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
92,2026-10-05,Lunes,14,Octubre,Marketing,Oferta — Publicar más no arregla un mensaje débil,Reel,"Gancho (0-2s): ""Publicar más no arregla un mensaje débil"". Desarrollo (3-15s): Explica cómo oferta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Publicar más no arregla un mensaje débil. Todo empieza por oferta bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
93,2026-10-06,Martes,14,Octubre,Fiscalidad,Obligaciones — Muchos pagan más impuestos por no entender esto,Carrusel,"Portada: ""Muchos pagan más impuestos por no entender esto"". Slides 2-6: desarrollar obligaciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Muchos pagan más impuestos por no entender esto. Esto pasa constantemente con obligaciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
94,2026-10-07,Miércoles,14,Octubre,Mentalidad,Responsabilidad — Querer crecer sin enfoque es agotador,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre responsabilidad, conectando la idea con tu experiencia real y tu visión de negocio.","Querer crecer sin enfoque es agotador. Responsabilidad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
95,2026-10-08,Jueves,14,Octubre,Storytelling,Conversación real — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo conversación real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre conversación real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
96,2026-10-09,Viernes,14,Octubre,IA,Asistentes IA — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar asistentes ia en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso asistentes ia para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
97,2026-10-10,Sábado,14,Octubre,Marca personal,"Tu historia — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre tu historia, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de tu historia, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
98,2026-10-11,Domingo,14,Octubre,Venta,"CTA — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo cta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con cta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
99,2026-10-12,Lunes,15,Octubre,Marketing,"Posicionamiento — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo posicionamiento afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por posicionamiento bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
100,2026-10-13,Martes,15,Octubre,Fiscalidad,Errores fiscales — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar errores fiscales en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con errores fiscales, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
101,2026-10-14,Miércoles,15,Octubre,Mentalidad,Resiliencia — No todo cansancio viene de trabajar mucho,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre resiliencia, conectando la idea con tu experiencia real y tu visión de negocio.","No todo cansancio viene de trabajar mucho. Resiliencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
102,2026-10-15,Jueves,15,Octubre,Storytelling,"Cambio de visión — A veces el error no está en el trabajo, sino en la estrategia",Reel,"Gancho (0-2s): ""A veces el error no está en el trabajo, sino en la estrategia"". Desarrollo (3-15s): Explica cómo cambio de visión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","A veces el error no está en el trabajo, sino en la estrategia. Esta historia sobre cambio de visión me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
103,2026-10-16,Viernes,15,Octubre,IA,Ideas de contenido — 5 formas de usar IA en un negocio real,Carrusel,"Portada: ""5 formas de usar IA en un negocio real"". Slides 2-6: desarrollar ideas de contenido en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",5 formas de usar IA en un negocio real. Así uso ideas de contenido para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
104,2026-10-17,Sábado,15,Octubre,Marca personal,"Universo — Tu historia también vende, si sabes contarla",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre universo, conectando la idea con tu experiencia real y tu visión de negocio.","Tu historia también vende, si sabes contarla. Hoy quiero hablarte de universo, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
105,2026-10-18,Domingo,15,Octubre,Venta,"Mentoría — El problema no es vender, es lo que pasa antes y después",Reel,"Gancho (0-2s): ""El problema no es vender, es lo que pasa antes y después"". Desarrollo (3-15s): Explica cómo mentoría afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","El problema no es vender, es lo que pasa antes y después. Si tu negocio tiene relación con mentoría, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
106,2026-10-19,Lunes,16,Octubre,Marketing,"Conversión — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo conversión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por conversión bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
107,2026-10-20,Martes,16,Octubre,Fiscalidad,"Inspecciones — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar inspecciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con inspecciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
108,2026-10-21,Miércoles,16,Octubre,Mentalidad,Límites — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre límites, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Límites no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
109,2026-10-22,Jueves,16,Octubre,Storytelling,"Caso cliente — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo caso cliente afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre caso cliente me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
110,2026-10-23,Viernes,16,Octubre,IA,"Automatización — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar automatización en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso automatización para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
111,2026-10-24,Sábado,16,Octubre,Marca personal,Rutina — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre rutina, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de rutina, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
112,2026-10-25,Domingo,16,Octubre,Venta,Oferta — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo oferta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con oferta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
113,2026-10-26,Lunes,17,Octubre,Marketing,"Leads — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo leads afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por leads bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
114,2026-10-27,Martes,17,Octubre,Fiscalidad,Sociedades — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar sociedades en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con sociedades, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
115,2026-10-28,Miércoles,17,Octubre,Mentalidad,Identidad — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre identidad, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Identidad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
116,2026-10-29,Jueves,17,Octubre,Storytelling,Lección de negocio — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo lección de negocio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre lección de negocio me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
117,2026-10-30,Viernes,17,Octubre,IA,Análisis — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar análisis en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso análisis para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
118,2026-10-31,Sábado,17,Octubre,Marca personal,Lecciones personales — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre lecciones personales, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de lecciones personales, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
119,2026-11-01,Domingo,17,Noviembre,Venta,Precio — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo precio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con precio, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
120,2026-11-02,Lunes,18,Noviembre,Marketing,Diferenciación — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por diferenciación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
121,2026-11-03,Martes,18,Noviembre,Fiscalidad,IVA — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar iva en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con iva, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
122,2026-11-04,Miércoles,18,Noviembre,Mentalidad,Hábitos — La motivación no sostiene un negocio,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre hábitos, conectando la idea con tu experiencia real y tu visión de negocio.","La motivación no sostiene un negocio. Hábitos no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
123,2026-11-05,Jueves,18,Noviembre,Storytelling,Antes y después — Un cliente estuvo a punto de cerrar y el problema no era el impuesto,Reel,"Gancho (0-2s): ""Un cliente estuvo a punto de cerrar y el problema no era el impuesto"". Desarrollo (3-15s): Explica cómo antes y después afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Un cliente estuvo a punto de cerrar y el problema no era el impuesto. Esta historia sobre antes y después me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
124,2026-11-06,Viernes,18,Noviembre,IA,Procesos — La mayoría usa ChatGPT mal por este motivo,Carrusel,"Portada: ""La mayoría usa ChatGPT mal por este motivo"". Slides 2-6: desarrollar procesos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La mayoría usa ChatGPT mal por este motivo. Así uso procesos para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
125,2026-11-07,Sábado,18,Noviembre,Marca personal,Creencias — No todo lo importante cabe en un KPI,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre creencias, conectando la idea con tu experiencia real y tu visión de negocio.","No todo lo importante cabe en un KPI. Hoy quiero hablarte de creencias, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
126,2026-11-08,Domingo,18,Noviembre,Venta,Consecuencia — Seguir igual también tiene un precio,Reel,"Gancho (0-2s): ""Seguir igual también tiene un precio"". Desarrollo (3-15s): Explica cómo consecuencia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Seguir igual también tiene un precio. Si tu negocio tiene relación con consecuencia, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
127,2026-11-09,Lunes,19,Noviembre,Marketing,Instagram — No necesitas más seguidores,Reel,"Gancho (0-2s): ""No necesitas más seguidores"". Desarrollo (3-15s): Explica cómo instagram afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. No necesitas más seguidores. Todo empieza por instagram bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
128,2026-11-10,Martes,19,Noviembre,Fiscalidad,Facturación — Lo que Hacienda no te perdona aunque factures poco,Carrusel,"Portada: ""Lo que Hacienda no te perdona aunque factures poco"". Slides 2-6: desarrollar facturación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Lo que Hacienda no te perdona aunque factures poco. Esto pasa constantemente con facturación, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
129,2026-11-11,Miércoles,19,Noviembre,Mentalidad,Energía — Tus hábitos también aparecen en tu facturación,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre energía, conectando la idea con tu experiencia real y tu visión de negocio.","Tus hábitos también aparecen en tu facturación. Energía no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
130,2026-11-12,Jueves,19,Noviembre,Storytelling,Historia breve — Esta historia explica por qué vender no basta,Reel,"Gancho (0-2s): ""Esta historia explica por qué vender no basta"". Desarrollo (3-15s): Explica cómo historia breve afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Esta historia explica por qué vender no basta. Esta historia sobre historia breve me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
131,2026-11-13,Viernes,19,Noviembre,IA,Sistemas — Automatizar no es deshumanizar,Carrusel,"Portada: ""Automatizar no es deshumanizar"". Slides 2-6: desarrollar sistemas en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Automatizar no es deshumanizar. Así uso sistemas para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
132,2026-11-14,Sábado,19,Noviembre,Marca personal,Autenticidad — La autoridad también se siente antes de demostrarse,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre autenticidad, conectando la idea con tu experiencia real y tu visión de negocio.","La autoridad también se siente antes de demostrarse. Hoy quiero hablarte de autenticidad, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
133,2026-11-15,Domingo,19,Noviembre,Venta,"Objeciones — Si tu negocio factura pero no crece, mira esto",Reel,"Gancho (0-2s): ""Si tu negocio factura pero no crece, mira esto"". Desarrollo (3-15s): Explica cómo objeciones afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Si tu negocio factura pero no crece, mira esto. Si tu negocio tiene relación con objeciones, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
134,2026-11-16,Lunes,20,Noviembre,Marketing,Captación — Publicar más no arregla un mensaje débil,Reel,"Gancho (0-2s): ""Publicar más no arregla un mensaje débil"". Desarrollo (3-15s): Explica cómo captación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Publicar más no arregla un mensaje débil. Todo empieza por captación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
135,2026-11-17,Martes,20,Noviembre,Fiscalidad,Deducciones — Muchos pagan más impuestos por no entender esto,Carrusel,"Portada: ""Muchos pagan más impuestos por no entender esto"". Slides 2-6: desarrollar deducciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Muchos pagan más impuestos por no entender esto. Esto pasa constantemente con deducciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
136,2026-11-18,Miércoles,20,Noviembre,Mentalidad,Consistencia — Querer crecer sin enfoque es agotador,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre consistencia, conectando la idea con tu experiencia real y tu visión de negocio.","Querer crecer sin enfoque es agotador. Consistencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
137,2026-11-19,Jueves,20,Noviembre,Storytelling,Observación empresarial — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo observación empresarial afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre observación empresarial me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
138,2026-11-20,Viernes,20,Noviembre,IA,Investigación — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar investigación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso investigación para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
139,2026-11-21,Sábado,20,Noviembre,Marca personal,"Naturaleza — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre naturaleza, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de naturaleza, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
140,2026-11-22,Domingo,20,Noviembre,Venta,"Diferenciación — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con diferenciación, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
141,2026-11-23,Lunes,21,Noviembre,Marketing,"Mensaje — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo mensaje afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por mensaje bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
142,2026-11-24,Martes,21,Noviembre,Fiscalidad,Ahorro legal — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar ahorro legal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con ahorro legal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
143,2026-11-25,Miércoles,21,Noviembre,Mentalidad,Claridad — No todo cansancio viene de trabajar mucho,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre claridad, conectando la idea con tu experiencia real y tu visión de negocio.","No todo cansancio viene de trabajar mucho. Claridad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
